"funct_category","funct_process","funct_trait","n"
"Antibiotic resistance","Beta-lactamases","bla",526
"Antibiotic resistance","Tetracycline resistance","Tet",254
"Antibiotic resistance","Transporter","ABC_Ab_trp",103
"Antibiotic resistance","Transporter","hlyD",532
"Antibiotic resistance","Transporter","mexB",93
"Antibiotic resistance","Transporter","norM",168
"Antibiotic resistance","Transporter","SMRP",1017
"Antibiotic resistance","Vancomycin resistance","Van",22
"Bioleaching","Arsenical resistance ","arsM",50
"Bioleaching","Electron transport","fdx",27
"Bioleaching","Electron transport","korA",70
"Bioleaching","Iron Fe","qcrA",23
"Bioleaching","Others","ABC_I",23
"Carbon cycling","Aromatic hydrocarbons catabolism ","vanA",252
"Carbon cycling","Aromatic hydrocarbons catabolism ","vdh",51
"Carbon cycling","Carbohydrate degradation","Beta glucosidase",238
"Carbon cycling","Carbohydrate degradation","CDH",59
"Carbon cycling","Carbohydrate degradation","glx",104
"Carbon cycling","Carbohydrate degradation","nplT",241
"Carbon cycling","Carbohydrate metabolism","AceA",485
"Carbon cycling","Carbohydrate metabolism","AceB",648
"Carbon cycling","Carbohydrate metabolism","amyA",995
"Carbon cycling","Carbohydrate metabolism","amyS",271
"Carbon cycling","Carbohydrate metabolism","pflB",236
"Carbon cycling","Carbohydrate metabolism","pulA",224
"Carbon cycling","Carbohydrate metabolism","sucC",127
"Carbon cycling","Carbohydrate metabolism","xylA",296
"Carbon cycling","Carbon degradation","lacc",512
"Carbon cycling","Carbon fixation","CbbS",383
"Carbon cycling","Carbon fixation","CODH",247
"Carbon cycling","Carbon fixation","fhs",123
"Carbon cycling","Carbon fixation","pcc",721
"Carbon cycling","Glycan biosynthesis","cga",130
"Carbon cycling","Glycan degradation","abfB",455
"Carbon cycling","Glycan degradation","abfB_fungi",125
"Carbon cycling","Glycan degradation","cbh",204
"Carbon cycling","Glycan degradation","Endochitinase",719
"Carbon cycling","Glycan degradation","Endoglucanase",155
"Carbon cycling","Glycan degradation","Exochitinase",78
"Carbon cycling","Glycan degradation","manA",157
"Carbon cycling","Glycan degradation","xlnB",184
"Carbon cycling","Hydrocarbons degradation","assA",22
"Carbon cycling","Hydrocarbons degradation","limA",36
"Carbon cycling","Lignin degradation","mnp",70
"Carbon cycling","Methane oxidation","mmoX",32
"Carbon cycling","Methane oxidation","pmoA",191
"Carbon cycling","Methanogenesis","mcrA",255
"Carbon cycling","Pectin degradation","pelA",58
"Carbon cycling","Peptidoglycan degradation","lytD",439
"Energy process","Cytochrome","Cytochrome b",25
"Energy process","Cytochrome","Cytochrome c",603
"Energy process","Electron transport","NADH_UO",24
"Energy process","Electron transport","nqo",16
"Energy process","Electron transport","trxA",31
"Energy process","Hydrogenase","DpiB",115
"Energy process","Hydrogenase","hupC",54
"Energy process","P450","p450",34
"Metal Resistance","Aluminum","ALR1",138
"Metal Resistance","Arsenic","aioA",94
"Metal Resistance","Arsenical resistance ","arsA",47
"Metal Resistance","Arsenical resistance ","arsB",82
"Metal Resistance","Arsenical resistance ","arsC",537
"Metal Resistance","Cadmium","CadA",481
"Metal Resistance","Cadmium","cadBD",76
"Metal Resistance","Cadmium Cobalt Zinc resistance","czcA",674
"Metal Resistance","Cadmium Cobalt Zinc resistance","czcC",36
"Metal Resistance","Cadmium Cobalt Zinc resistance","czcD",549
"Metal Resistance","Chromium","ChrA",965
"Metal Resistance","Cobalt","CorC",61
"Metal Resistance","Copper","CopA",1378
"Metal Resistance","Copper","CueO",28
"Metal Resistance","Copper","CusA",34
"Metal Resistance","Lead","pbrA",41
"Metal Resistance","Mercury","mer",490
"Metal Resistance","Mercury","merB",31
"Metal Resistance","Mercury","merC",17
"Metal Resistance","Mercury","merP",66
"Metal Resistance","Mercury","merR",7
"Metal Resistance","Miscellaneous","SmtA",30
"Metal Resistance","Nickel","nreB",36
"Metal Resistance","Silver","silA",45
"Metal Resistance","Silver","silC",268
"Metal Resistance","Silver","silP",37
"Metal Resistance","Tellurium","TehB",250
