"AcanQuad_1","ArioFeli_2","ChaeFabe_1","ChilShoe_1","ChilShoe_2","GimnMicr_1","GimnMicr_2","HaemBona","OpsaBeta_1","OrthChry_2","PrioPunc_1","SphoSpen_1","SphoTest_1","SphoTest_2","SphoTest_3","SynoFoet_2","SynoFoet_3","UrobJama_1","Sdmt_A","Sdmt_B","Sdmt_C","Wtr_A","Wtr_B","Wtr_C"
0,65153.219,0,4345.1883,0,0,0,5035.5027,2347.03,4737.0372,0,6665.4761,0,0,0,2438.2694,0,3497.628,0,0,0,5413.5068,9789.3463,11188.5064
6069.8394,5979.6092,13039.5334,9413.6531,24450.1902,6905.2563,0,11011.9919,8490.3481,11710.783,9830.7071,16671.5141,14319.3224,5525.2021,5866.2748,11551.7626,8514.0817,6062.6948,11222.7315,5873.6526,4663.0586,3862.0837,3179.4355,4561.888
3685.9782,0,0,3126.1617,3087.4761,0,0,0,2953.3785,2603.071,4071.0084,3622.7799,3249.1193,0,0,2395.5867,3296.588,0,0,0,0,0,0,0
2368.8624,6154.437,3811.1622,0,0,0,0,0,2135.2377,4785.9605,3290.7961,6004.0111,0,3914.7145,0,3126.4435,0,2418.2049,2333.2764,4965.1882,0,0,2643.2821,2794.9747
0,0,0,4549.4472,0,0,0,5037.4575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7249.1615,0,0,5417.3887,0,0,5304.5213,0,4240.3063,5145.9873,0,4606.5289,3304.5141,8210.1093,7070.1026,0,4264.4077,5747.3678,23790.5017,10927.6053,5837.8867,5263.5238
2653.3732,0,2961.2646,2038.5936,2278.4523,3961.112,0,0,2634.6526,2736.1773,2956.3499,2586.5764,0,0,0,0,2467.37065,2822.3325,0,0,0,0,0,0
0,0,0,0,2334.2452,0,0,0,2477.0248,2765.9953,2921.6928,0,2432.61,0,0,0,0,0,0,0,0,0,0,0
6795.5416,5032.3793,0,6588.1962,9569.4962,0,0,7861.8516,7307.5242,7790.0564,0,9892.6868,0,0,0,5046.3602,6371.3918,0,0,0,5009.463,0,3761.6211,5005.2592
15556.145,10593.1879,15626.5953,17070.8343,16884.7968,11621.2726,20806.7063,19528.2426,15385.7265,11029.5234,23687.9827,16396.3712,17863.5234,10305.6275,17255.5159,11478.9475,16856.8984,18900.9009,0,8926.6825,8886.128,3124.9099,6820.0413,7995.7053
0,0,0,0,0,0,0,0,0,12349.2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6380.7179,0,0,0,0,0,5966.2282,0,0,0,2194.6083,0,0,0,0,2716.1375,0,0,3951.6436,0,0
0,0,0,0,0,3854.1867,0,0,0,0,0,3746.9249,0,2195.7789,0,0,0,0,0,0,3640.8819,0,2523.0164,3212.9604
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4519.073,0,4307.047,3925.2584,4317.8181,4853.2028,9359.1248,5824.9322,3670.3144,4194.2403,6553.3102,0,5064.5537,3968.7174,5143.7638,2753.79,0,7696.1138,0,3374.4158,2857.4404,0,0,0
67592.1009,72629.7136,35909.0723,69507.4704,66101.1388,24739.8503,47980.6074,36467.6772,73444.2215,40575.9432,61841.9762,35528.2764,75526.2911,7865.6391,73912.848,28433.9264,83386.8652,48657.3395,33071.1118,21929.0222,32783.5768,14373.2801,18700.2475,34923.5041
7475.015,14559.7125,3851.5729,4779.727,0,5047.7719,0,4671.1311,3927.1826,6273.978,0,0,5628.3894,6836.6189,7568.3031,4070.7484,5430.0814,0,3339.1185,4695.5662,9360.9915,7505.3838,6437.6154,8604.311
0,3029.9999,0,0,0,0,0,0,0,0,0,0,5127.5572,2003.4912,0,3060.8707,0,0,3407.022,2829.6648,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,12397.1986,0,4025.049,0,0,0,0,0,0,0,0
0,0,0,2116.0566,0,0,0,0,0,0,0,0,0,2286.8849,0,0,0,0,4032.2611,3670.0259,0,0,0,0
0,0,0,0,0,0,4246.4747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6959.3605,3429.8515,14103.5426,0,0,3429.182,0,0,5898.8251,0,0,3962.8665,0,2522.4495,5087.4423,0,11298.0245,0,0,0,3670.4647,7136.8074,7546.9954,3271.4144
0,0,0,0,0,0,0,0,0,0,0,0,0,2149.4759,0,0,0,0,6954.2871,5934.8531,2097.1908,0,0,0
0,73666.4103,0,0,0,0,0,0,0,0,0,0,0,18021.0938,0,0,0,0,4009.58,0,0,14214.7082,17509.999,14601.3523
14402.6782,9766.7399,16561.3492,15045.4066,15889.0107,10810.8417,18158.3687,12058.5925,11878.8787,11490.372,18661.8309,14766.2791,12433.8081,9304.7013,13674.7966,10761.3434,15882.3942,18282.4932,2499.7177,6638.5979,8409.8984,2398.052,6038.7209,7433.6563
0,5765.3425,0,0,0,0,0,0,0,0,0,0,0,3555.5537,0,0,0,0,9418.5144,3391.453,0,3361.1887,3065.7674,5420.5339
7715.3578,0,0,4895.8438,0,0,0,0,0,3663.6742,0,0,0,8535.2383,5318.9426,0,0,0,6012.7314,6550.9389,11560.6073,5584.5,10978.3952,4688.3781
54085.2605,49512.5046,21613.7599,50420.3778,56418.6286,22105.8255,32517.3332,37292.8826,48837.4404,25694.5066,57116.6105,19792.0045,49969.0859,4862.1061,62557.8388,16737.8347,67658.9851,38901.8209,2136.82,15228.6777,18339.8248,7105.3962,7176.5148,27169.1314
21953.3885,14416.2197,27755.2115,21271.6796,27834.6162,19921.8861,20233.0691,29932.5211,21679.0894,21981.1699,29702.0958,29494.4397,28840.5909,16386.6657,19676.5383,19322.9433,22741.2502,20356.2541,3476.5241,8695.0491,13091.9094,6969.309,9789.5212,12849.4762
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3489.4887,0,0,0,0,0,0,3328.1605,0,2224.0168,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3491.2034,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4708.5769,6094.7204,0,2955.561,0,2597.4012,0,0,3608.5485,6316.2315,0,0,0,3994.054,3432.8549,21868.8119,3507.0409,0,0,0,0,2028.7177,0,0
9947.0706,18345.2383,0,0,10533.92033333,7787.51853333,0,13122.7732,0,0,13447.73526667,0,11501.2936,14871.3941,0,0,9139.3793,8644.62026667,6754.4136,9788.8445,0,6211.4399,10899.1011,15409.4521
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2365.7403,0
0,12733.8656,0,0,0,4795.2476,0,0,11902.2704,0,0,0,0,6175.3177,0,5189.6875,5967.0317,0,0,0,0,2940.0216,7141.466,9060.0251
0,4567.0844,0,0,0,0,0,0,0,3852.4761,0,0,0,0,0,0,0,0,0,0,0,0,0,2405.1479
3054.3693,0,3319.545,3604.7272,3323.7362,3248.2797,4135.971,4754.9126,2798.6333,2205.6454,3685.0054,2429.6551,3549.4766,0,3075.7267,0,3418.9553,3711.3102,0,0,2050.1316,0,0,0
2931.638,0,8005.2175,0,0,0,3039.4981,0,2729.3579,2311.919,0,0,0,2028.0735,0,0,3937.8,0,0,0,0,3061.7295,0,0
0,0,3577.916,0,0,0,0,0,0,2238.5851,0,8606.0213,0,3219.6486,0,0,0,3351.4305,0,0,0,2090.2137,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056.3183,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13993.4747,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2169.2455
2983.4966,3816.5087,0,2310.7687,0,0,0,0,0,0,0,7412.88,0,0,0,0,0,0,0,0,0,3123.6677,0,5713.5411
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2658.9629,0,3143.8999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7838.2634,0,0,0,0,3017.0366,0,0,4496.8941,5401.3743,18848.3066,2436.7055,2395.2787,2751.1748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2357.4762,5514.5208,2835.8343,2333.1874,2923.3104,2608.2316
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10955.4375,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2062.6187,0,0,0,0,5855.1626,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,34504.3174,0,0,0,0,0,0,0,0,0,0,3140.2155,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27403.325,0,0,14513.1121,10096.675,15397.2807,15943.0186,22945.2643,29618.3919,40389.6319,51405.6403,0,23563.8696,0,22014.2341,23932.0214,25860.4492,0,33681.7031,41175.5854,52353.4429,41857.5812,37413.5982,41049.2592
0,0,0,0,3878.6584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3581.9135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2615.8576,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4218.8179,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2049.9243,0,0,0,0,0,0,0,0,0,0
