"","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1"
"Adhesin",0.726509050158503,0.727128907315476,1.46343873517787,0.364938122878108,0.940782044042914,0.731349998902618,0,0,0,1.21137487276429,0.726824923658572,0.832008622411612
"Aerobactin biosynthesis",1.22765202761478,0.682610810949223,0.82430426716141,0.342594972497815,0,0.68657346835756,0,0,0,2.2744181284554,1.1372090642277,0.260356439666219
"Aluminum",0.871810860190204,0.848317058534723,0.390250329380764,0.729876245756215,0.627188029361942,0,0.919875776397515,0.299773297708688,0.882878944440029,0,0.484549949105715,0.184890804980358
"Ammonia assimilation",1.01270958506943,0.760180221284362,0.815977961432507,0.508701625830089,0,0.254864393556973,0,0.313399356695446,0.461504902775469,1.68858315597446,0.168858315597446,0.386589864958931
"Ammonification",1.01073356636685,1.03335067478655,1.35730968218773,1.52858634883578,0.844409249287298,1.14875463242265,1.85770034843206,1.21079166098924,1.18865653007536,1.44971041683661,1.44971041683661,1.74248309864416
"Anammox",0.862436549865578,0,0.868621700879765,1.08304217112213,0,0,0,1.33447468012254,0,0,1.4380192037976,2.46918687941511
"Aromatic amino-acid degradation",1.14580855910712,1.19456891916114,3.0774025974026,1.91853184598777,2.47291280148423,2.40300713925146,3.6269387755102,0.59098164405427,0.870266388090885,3.18418537983755,1.91051122790253,2.18699409319624
"Aromatic compound degradation",1.09465402477734,1.30565305182429,1.40148886505583,1.25816279976297,1.38146759555503,1.06225922810769,1.23331020124913,1.32058354882356,1.28939537722001,1.50812388739704,1.20649910991763,1.41651248229227
"Aromatic compound metabolism",0.767002997216518,0.685408396239998,1.32429210134128,2.47679316182847,0,1.10301967047608,0,0.678175657111457,0.49933317349477,2.7404874170733,1.46159328910576,0.836555117616047
"Aromatic hydrocarbons catabolism ",1.17530256143907,1.42483886642601,1.26753549893017,1.36491543020818,1.53204187370692,1.45274191573498,1.33338149887459,1.14264881188474,1.41009901046432,1.45242457026241,1.26599395378097,1.41446320946849
"Arsenic",1.20878739834883,1.24540163912544,1.1458413926499,1.42869392786323,1.84153080961592,0.715789360628095,0,0.440092713657435,1.9442121436073,1.18560093930122,0.948480751440973,1.90004805969177
"Arsenical resistance ",1.10153383359228,1.00437219180867,1.16584560690706,0.890938322333704,0.846178263077704,0.798764942935541,0.709177972865124,0.86666302549858,0.935901003952488,1.40086367967714,0.840518207806282,0.605801436430056
"Assimilatory N reduction",1.15448892697915,1.09465951864948,1.02813223140496,0.671486146095718,1.10157024793388,1.03984672571245,1.15402597402597,1.27866937531742,0.996850589995014,0.607889936150806,0.729467923380967,0.83503410831129
"Bacteriochlorophyll biosynthesis",1.54243459879805,1.07204903001641,1.03566433566434,3.01307886068591,2.21928071928072,0.431308973711801,1.62747252747253,1.59110442629996,2.34302489101392,1.42880113197839,1.42880113197839,0
"Bacteriocin transport",0.908824057926334,1.41045486840713,0.973274917853231,1.50246469866512,1.34073585622639,0.984364370295779,1.52943201376936,1.70886258521717,1.25821646470971,2.30182075650908,1.38109245390544,1.62487512948315
"Beta-lactamases",0.902197170272879,1.08101674053366,1.58696854476322,1.34041911292871,0.987284578539331,1.21520893353781,1.6893536121673,1.10106846230643,1.04233426710505,0.423750906062032,1.01700217454888,1.26119431229948
"Biopolymer metabolism",1.51906437760414,1.03660939266049,0.333809166040571,0.416210421133709,0,1.80722024522217,1.04911452184179,0.683780414608246,0.755189840905314,1.38156803670638,0.552627214682551,0.632601597205523
"Cadmium",0.779986377010386,0.930777218879596,1.16024155377836,1.74803395303194,1.24311595047681,0.966379890830031,0.911618363682996,1.33687050540104,1.96864568939769,1.80075115735876,1.68070108020151,1.19100216924511
"Cadmium Cobalt Zinc resistance",1.02461435223307,1.23536833419206,1.17633042096902,1.30670457341899,1.03119874565466,1.01540889442556,1.20993986156814,1.1171853160041,0.967730693667386,1.06223817278139,1.04453420323504,0.891705296140377
"Capsule biosynthesis",0.644747581491148,0.699072486454429,0.865828705057001,1.29547166449335,0.556604167536643,0.865391638572873,0,0.798110258851425,0.979399472128006,0.71669767391842,1.29005581305316,1.14858210682332
"Carbohydrate degradation",0.801649550050286,1.09409115960553,0.922741433021807,1.15052143412039,1.34816118460978,1.0480404968698,0.593190921228304,1.0309960145495,1.23355516068957,1.38874128715657,1.49289688369331,0.953829199524839
"Carbohydrate metabolism",1.05288471851734,0.993654219777548,0.951725666168079,0.859305854235836,0.975753223010993,1.15830508662273,0.734891616610081,0.857121458165242,0.909510576219298,0.64518076709079,1.07982886281511,0.831839618019491
"Carbon degradation",1.01824784061278,0.783935853199498,1.20962357954545,0.721323008501259,0.338093547077922,1.11702284988642,1.48761160714286,0.565587901536313,0.951853861974406,0.870675689799331,1.26247975020903,1.29568009427642
"Carbon fixation",1.08375040670863,0.998445663776475,0.968212655729616,1.00221812850107,0.880786445576133,1.57483371541174,0.688970730761776,1.01036210516741,1.23986391790425,0.680473809124036,1.27021777703153,0.934739673482788
"Chlorinated solvents",1.01917368880391,1.60123067887557,1.43230174081238,1.42869392786323,1.22768720641061,1.43157872125619,1.35045592705167,1.3202781409723,0.432047143023844,1.97600156550203,1.6598413150217,1.71909110162588
"Chromium",0.990461457397437,1.10915414670299,1.00454074422986,0.904592735672988,0.896911378776664,1.25504207065568,1.97320503330866,1.02885923524474,1.45194703090811,1.03939730015423,1.22417904240387,1.34845749787747
"Cobalt",0.438287426980867,0.548326716991999,0,0.550398480406326,1.41888439429423,1.10301967047608,0,0.678175657111457,0.998666346989541,0,1.09619496682932,0.418277558808024
"Cold shock",1.73780964797914,0.334479297365119,1.61563636363636,1.34297229219144,0,0,0,0.827374301675978,1.21837294332724,0,0.445785953177257,0
"Colonization factor",0.534710660916658,0,0,0,0,0,0,0,0,0,0.891571906354515,1.02059724349158
"Copper",1.17432115635342,1.02202007528231,1.30896464646465,1.25903652392947,1.38242694805195,1.16812847046946,1.41047619047619,1.23531579764122,1.09992001828154,1.23829431438127,1.20733695652174,1.32890266079632
"Cytochrome",1.04302636882628,0.825546036490342,0.728922987840185,0.641547273339858,0.964751013317892,1.23211512553976,1.0106915377616,0.85635875173469,1.06704636756367,0.70985024391283,0.92280531708668,0.77194855200398
"Denitrification",1.26503964786976,1.30279010802917,1.22749829512669,1.37551980302354,1.09875525513148,1.24240876905327,1.24525595581568,1.36065594909206,0.703042667817218,0.836009433252214,0.990349636314161,0.82448709803128
"Dissimilatory N reduction",0.917395741768776,0.983762639309174,0.791978609625668,0.768039709586605,0,0.659649018618048,0.41484593837535,1.08153503487056,0.796322185181202,0,0.801249262246705,0.8338212773624
"Electron transport",0.636560310615069,0.497737049650475,0.801406926406926,0.199847067290392,0,0.801002379750487,0,0.738727055067837,1.08783298511361,0,0.398023172479694,0.759372949026471
"Exotic gut metabolism",1.07804568733197,0.924827550318302,0.24817762882279,0.154720310160304,0.398856903465198,0.775163593306923,1.16998025016458,0.190639240017506,0.561462185865087,1.02715657414115,0.719009601898802,0.352740982773587
"Glucose limitation",0.835485407682279,0.929109159347553,0.373989898989899,0.466309823677582,4.80844155844156,0.467251388187784,1.76309523809524,0.574565487274985,0.846092321755027,1.54786789297659,1.54786789297659,0.35437404287902
"Glycan biosynthesis",0.668388326145823,0.900521185213783,0.828531468531469,1.03305560937803,0,0.776356152681241,1.95296703296703,1.27288354103997,0.937209956405569,0.857280679187034,0.857280679187034,0.785074802685829
"Glycan degradation",0.920361392766997,0.885717927543647,0.907515209874382,0.759746000637909,0.95844718593876,1.02043923775628,0.794538826604306,0.836536366643983,1.08521422491834,1.1804635255055,1.10534311933696,0.995045458868774
"Halogenated aliphatic compounds",1.43692604317994,0.817131833953874,1.14024281907018,0.984263080596329,1.69156901730192,0.767083712204049,1.24048394602141,0.943260604516587,1.19059245276277,1.45207150872071,0.94384648066846,1.24665787071447
"Heat shock",0.905535101813251,0.881633988197013,0.998024142104747,0.96651478387293,0.965494922493843,0.76872016797213,0.639510615329255,1.01226075052117,0.789158437563523,0.721855627670982,0.777999954267614,0.807957515538492
"Hemolysin",0.967920472305106,0.55637456508875,1.42277174879915,0.657031454105399,0.338755178285511,0.921701368480012,0.993681856304166,0.404781947982377,0.953716589688641,1.09047444514985,0.959617511731865,1.14842155578798
"Herbicides related compound",1.26146529159916,1.2719635251913,1.13777208706786,1.1349061624153,0.609520760929212,0.900281547944913,1.07275653923541,0.640923754819419,1.20121276102686,1.09876819445099,1.28712845635687,1.14996872506093
"Hydrocarbons degradation",1.11398054357637,0.871039836888331,0.560984848484849,1.04919710327456,0.901582792207792,2.8035083291267,0,2.15462057728119,0,0,1.16090091973244,1.06312212863706
"Hydrocarbons metabolism",1.01754640696827,1.29797936290942,1.20569877883311,1.30288356705139,2.58364024035666,2.30975611593722,0.757867803837953,1.23488701742683,1.45477366367432,1.6633804223032,0.598816952029152,1.2947875477132
"Hydrogenase",1.02828973253204,0.593750232009087,1.5933297471759,0.993322701325026,1.02428340889879,0.796262720698709,0.751141166525782,1.71349707447688,1.08139610354489,1.97834002889315,1.58267202311452,2.26463885390143
"Invasion",0.703566659100866,1.46701446212772,1.41722488038278,0,1.51845522898154,0.590212279816148,0,0,1.06874819590109,3.91040309804612,0.782080619609224,0.447630369952446
"Iron Fe",0.290603620063401,2.18138672194643,0,0,0,0,0,1.79863978625213,0,4.84549949105715,0.969099898211429,0
"Lead",0.978129257774375,2.44740949291551,2.62705099778271,2.4566566320575,2.11102312321824,1.64107804631807,0,3.02697915247309,1.48582066259419,0,0.543641406313729,0.622315392372913
"Lignin degradation",1.24129260569939,1.19456891916114,1.92337662337662,1.91853184598777,0,0.961202855700584,0,2.36392657621708,3.48106555236354,0,1.27367415193502,1.45799606213082
"Mercury",1.13671484038405,1.16043837861368,1.06243661100804,1.09630391199301,1.1775775245163,0.915431291143413,1.72711370262391,0.956827423706913,1.07747267096967,1.36465087707324,1.06139512661252,0.937283182798387
"Methane oxidation",0.719341696300437,0.824948939689756,1.20750101916021,0.602229727440106,0.388125327587211,0.603445739004851,0.569250480461243,1.11305959866723,1.63906673990212,0.99952007438847,0.699664052071929,0.114416731333136
"Methanogenesis",0.917395741768776,0.655841759539449,0.633582887700535,0.263327900429693,0.339419404125286,0.923508626065267,0,0.324460510461168,0,0,0.437045052134566,0.400234213133952
"Miscellaneous",1.55957276100692,1.6723964868256,1.79515151515152,0,0,2.24280666330136,0,0,0,0,0,0
"Nickel",0.742653695717581,0.929109159347553,0,0.932619647355164,2.40422077922078,0.934502776375568,0,3.44739292364991,0,0,1.23829431438127,0.70874808575804
"Nitrate assimilation",1.21403867623293,0.867910352444421,1.31680275812012,1.37379900149324,1.29568784508904,0.973673551433227,1.64696321642429,1.44501499793709,1.21594106120483,1.22346444235275,0.845302705625538,1.55330418794876
"Nitrification",0.793095804346517,0.643229418009845,0.705133164707633,0.714346963931615,0.283312432248602,0.853441160748882,0.934931026420388,1.28642485530635,1.04688346194239,1.00320079479334,0.875520693637822,1.1066213974029
"Nitrogen compounds",1.1061356101709,1.20718760492693,1.6118437900128,1.59596179089651,1.21904152185842,1.00689383651734,1.11745472837022,1.31098040758518,1.07251139377398,2.15829466767158,1.45194368552452,1.70698482626232
"Nitrogen fixation",1.0055639456614,0.773127329676066,0.775278330752783,0.626284726691059,0.737060384870604,0.927681588226841,0.669204031977755,0.922659906572968,0.864619890844554,0.316352562068208,0.885787173790982,0.931201864499614
"Organic compound",1.5073445930885,0.992520170222906,0.87893175074184,1.79328644357907,1.54098423831362,1.09811008737307,0.753370072064434,1.10480247998276,1.26537249306983,0.330701745680458,0.925964887905283,0.984255501883569
"Organophosphate degradation",1.33677665229165,0.477827567664456,0.769350649350649,1.91853184598777,0,0,0,3.54588986432562,0,0,0.636837075967511,1.45799606213082
"Organosulphur degradation",1.26548189750276,0.981139272271016,1.43612121212121,1.70109823677582,0.692415584415584,1.25597173144876,1.35405714285714,0.882532588454376,1.13714808043876,2.67471571906355,1.01044816053512,1.02059724349158
"Osmotic stress",0.846061172336485,0.889122182869304,0.54536248561565,0.849982463412301,1.09559427913858,1.0220384794791,0.964122965641953,0.942578318365038,1.23379538564784,0.282143008340036,0.790000423352102,0.968921433694535
