"","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1"
"ABC_Ab_trp",1.55740969199027,0.811842954769707,2.09143865842895,0.977892445770463,0.840310175261632,1.63311164803497,2.46490984743412,1.60655204208928,0.591443176372446,2.164009481443,0,1.486306665279
"ABC_I",1.1624144802536,0.727128907315476,0,0,0,0,0,0,2.64863683332009,0,0.969099898211429,0
"abfB",0.822631786025628,0.845387235098653,1.2427972027972,0.737896863841448,0.570672184957899,0.961202855700584,1.39497645211931,0.636441770519983,0.669435683146835,0.244937336910581,1.02873681502444,1.17761220402874
"abfB_fungi",0.855537057466653,1.33791718946048,0.430836363636364,1.07437783375315,3.46207792207792,1.61482079757698,1.01554285714286,0.992849162011173,0,1.78314381270903,1.96145819397993,0.408238897396631
"Acd",1.38934652064019,1.26839059394076,1.66404494382022,1.03740837177709,1.70186414708887,1.4175042113562,0.713162118780096,0.813429790973574,0.855598977055646,0.626103866821991,0.563493480139792,1.21840963057281
"AceA",1.06115260027275,1.10343685728699,1.22144329896907,1.03838063829235,0.535372874548132,1.45666824523697,1.30868924889543,0.767666877843691,1.13044912267476,0.68935972140813,0.873188980450298,0.789121580019261
"AceB",1.20681225554107,1.21300362470375,1.2050785634119,0.984431849986006,0.801406926406926,1.03833641819508,1.17539682539683,0.957609145458307,1.03411283770059,0.859926607209216,1.06630899293943,0.866247660370937
"acfA",0.534710660916658,0,0,0,0,0,0,0,0,0,0.891571906354515,1.02059724349158
"ahpC",0.9954719751108,0.79538255944146,0.606621913755831,0.630306144645542,0.541626708710564,0.75789461713563,0.953263007330592,0.621307360457555,0.686192521273164,0.418447390341606,0.753205302614891,0.383202970021869
"ahpF",0.835485407682279,0.857639224013126,0.776748251748252,0.322829877930634,0.55482017982018,0.539136217139751,0.813736263736264,0.662960177624982,0.781008297004641,0.357200282994597,0.357200282994597,0.572450376958417
"aidA",0.726509050158503,0.727128907315476,1.46343873517787,0.364938122878108,0.940782044042914,0.731349998902618,0,0,0,1.21137487276429,0.726824923658572,0.832008622411612
"aioA",1.20878739834883,1.24540163912544,1.1458413926499,1.42869392786323,1.84153080961592,0.715789360628095,0,0.440092713657435,1.9442121436073,1.18560093930122,0.948480751440973,1.90004805969177
"akbF",1.33677665229165,1.2542973651192,1.00977272727273,1.67871536523929,0,1.26157874810702,0,1.03421787709497,0,1.39308110367893,1.39308110367893,0.956809915773354
"alkB",1.09987952403743,1.48187030478217,1.36340621403913,1.55830118292255,1.82599046523097,2.55509619869776,1.07124773960217,1.04730924262782,1.7992849374031,1.88095338893358,0.658333686126752,1.29189524492605
"alkH",0.818434685076518,0.853263513686528,0.82430426716141,0.68518994499563,4.41591571693612,1.7164336708939,0,1.6885189830122,0.621618848636347,1.1372090642277,0.454883625691079,1.30178219833109
"ALR1",0.871810860190204,0.848317058534723,0.390250329380764,0.729876245756215,0.627188029361942,0,0.919875776397515,0.299773297708688,0.882878944440029,0,0.484549949105715,0.184890804980358
"AmiE",0.501291244609367,0.836198243412798,2.01954545454545,0.839357682619647,0,1.68210499747602,0,0,1.52296617915905,2.78616220735786,1.67169732441472,1.27574655436447
"amoA",0.807941932703742,0.636160962866879,0.682855605932529,0.709516215232162,0.292652402542512,0.881576583630713,0.965752928390291,1.32883446592084,0.978405998445374,1.03627334846784,0.866701345991287,1.12153543240833
"amyA",1.06136035709588,0.941248273992295,0.838940155322065,0.877318582838626,1.39179011942831,1.28482391767013,0.25516152189519,0.831531961483395,0.857146794300571,0.224013041797617,1.23207172988689,1.17958475378424
"amyS",0.715249500303648,1.04910480723377,0.993626299899363,0.495561731435954,0.958139646331528,0.868984131537428,1.40527148128624,1.37386876662063,2.02312850367992,1.23372496266769,1.72721494773476,0.470755186112351
"antA",1.46209946344399,1.567871706399,3.36590909090909,1.04919710327456,0,1.05131562342251,0,0,1.90370772394881,0,1.39308110367893,3.98670798238897
"Apc",1.33677665229165,1.11493099121706,5.38545454545455,2.23828715365239,0,0,0,0,0,0,1.48595317725752,1.7009954058193
"AprA",0.975228518575756,0.952254227374005,0.38330637334196,1.19481520657601,1.54007025003466,0.838059429347484,0.903507880020335,0.736098133163681,0.650377016010982,1.18982015972578,1.34846284768921,0.726403732022475
"AprB",0.886637575499561,1.02391621642383,0,1.02778491749345,0,1.37314693671512,0,1.6885189830122,0.621618848636347,1.1372090642277,0.682325438536619,0.260356439666219
"arcA",0.339858470921605,0.56691406333071,1.36918335901387,0.56905605601332,1.466982170372,0,0,0,0,1.88892353041211,0,0
"arcB",1.24351316492246,0,0.626215644820296,0.780797844297346,0,1.56474883486142,2.95215946843854,0,1.41671272479912,0,1.03671151901688,1.78011147120624
"arsA",1.70652338590423,0.355829039750127,0,0.714346963931615,0,0.715789360628095,0,0,0,0,0.474240375720487,0
"arsB",0.896618486293177,0.815803164305169,1.64190687361419,0.818885544019168,1.05551156160912,0.410269511579518,0,0.504496525412181,0,4.07731054735297,1.08728281262746,0.622315392372913
"arsC",1.09531047860023,1.09001633219545,1.20345352971051,0.812785837918467,0.967060872088805,0.81442700064016,0.945570630486832,1.07851398728712,0.90754036746908,1.24521215971301,0.78863436781824,0.570166057816524
"arsM",0.935743656604152,1.00343789209536,1.07709090909091,2.01445843828715,0,1.34568399798082,0,0,3.65511882998172,0,1.33735785953177,1.53089586523737
"Arylesterase",0.840875636118939,1.29475857044562,1.04234604105572,0.649825302673275,1.11679932970256,1.30227483675563,0.409493087557604,1.06757974409804,0.786047060211122,0.719009601898802,0.862811522278563,1.39920589833523
"assA",1.51906437760414,0,0,1.52610487749027,0,4.58755908402552,0,0,0,0,1.01314989358468,1.15976959487679
"atzA",1.11963526714783,0.848932226815023,0.615089986155976,1.02256773517114,0.439349990111411,0.512316242886098,0,0.524983693956839,1.2369268460175,1.1314364293839,1.24458007232229,0.647587083433742
"atzB",1.5140288050817,1.75555432318709,1.78523355097941,1.11296046314207,0.956375116596111,1.30107568865549,2.10402525651144,0.685669310781197,1.00970133424909,1.23145290932944,1.47774349119533,1.9735305813373
"atzC",1.02828973253204,2.38913783832228,1.47952047952048,0.368948431920724,0.951120308263165,1.47877362415474,2.78995290423862,0.909202529314261,2.0083070494405,0,1.71456135837407,1.96268700671457
"atzD",2.57072433133009,0.643229418009845,2.07132867132867,1.29131951172253,0,2.5878538422708,0,1.59110442629996,0,4.28640339593517,0,0
"atzE",1.11398054357637,0.929109159347553,2.99191919191919,7.46095717884131,0,0,7.05238095238095,0,0,0,0,1.41749617151608
"BchY",1.54243459879805,1.07204903001641,1.03566433566434,3.01307886068591,2.21928071928072,0.431308973711801,1.62747252747253,1.59110442629996,2.34302489101392,1.42880113197839,1.42880113197839,0
"bclA",1.92495837929997,1.33791718946048,0.215418181818182,1.34297229219144,0.692415584415584,1.34568399798082,0,1.65474860335196,1.94939670932358,0.891571906354515,0.891571906354515,1.83707503828484
"bco",0.735840359059621,1.84117044421167,0.988156797331109,0,0,0.92592935640882,1.16461336828309,1.13858848854492,1.11777334250205,1.02244484673683,1.02244484673683,1.8726554926451
"benA",1.10316519849311,1.78605450049336,1.04571932921447,1.30385659436062,2.52093052578489,0.653244659213989,1.23245492371706,1.60655204208928,1.18288635274489,2.164009481443,1.7312075851544,0.990871110185997
