"","Sample","mu","sigma","Biomol","Species","Site","Slide","Type","SdmWtr","Family"
"1","AcanQuad_1",8.74874326546663,0.739256980171126,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform"
"2","ArioFeli_2",8.66472698641733,0.768804101630552,"16","ArioFeli","F",529804,"F","F2","Siluriform"
"3","ChaeFabe_1",8.88825039909077,0.735471888392199,"8","ChaeFabe","F",529804,"F","F3","Perciform"
"4","ChilShoe_1",8.78802448742297,0.766710577182918,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform"
"5","ChilShoe_2",8.99440426037937,0.880846597663857,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform"
"6","GimnMicr_1",8.61807288639429,0.660315364791707,"18","GimnMicr","F",529810,"F","F6","Rajiform"
"7","GimnMicr_2",8.95298598359218,0.725467114040027,"19","GimnMicr","F",529810,"F","F7","Rajiform"
"8","HaemBona",8.93186687607919,0.740169264732299,"7","HaemBona","F",529810,"F","F8","Perciform"
"9","OpsaBeta_1",8.70621321825469,0.719073039326662,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform"
"10","OrthChry_2",8.73216091826851,0.725607047968272,"39","OrthChry","F",529804,"F","F10","Perciform"
"11","PrioPunc_1",8.94271499326499,0.745036149830163,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform"
"12","Sdmt_A",8.44542970180287,0.682084690258829,"Sa","Sdmt","A",529810,"S","Sdmt",NA
"13","Sdmt_B",8.55241750140035,0.708834046758222,"Sb","Sdmt","B",529810,"S","Sdmt",NA
"14","Sdmt_C",8.60536766585122,0.705832629924581,"Sc","Sdmt","C",529804,"S","Sdmt",NA
"15","SphoSpen_1",8.88022339987941,0.756933652916192,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform"
"16","SphoTest_1",8.8981912633117,0.739452846361069,"10","SphoTest","F",529810,"F","F13","Tetraodontiform"
"17","SphoTest_2",8.44266272569119,0.623303191138267,"11","SphoTest","F",529810,"F","F14","Tetraodontiform"
"18","SphoTest_3",8.86257213683929,0.788455829673055,"12","SphoTest","F",529810,"F","F15","Tetraodontiform"
"19","SynoFoet_2",8.67202867480896,0.751158408499067,"43","SynoFoet","F",529804,"F","F16","Aulopiform"
"20","SynoFoet_3",8.81175245257102,0.748631215502854,"44","SynoFoet","F",529804,"F","F17","Aulopiform"
"21","UrobJama_1",8.86932314567387,0.80119571472291,"29","UrobJama","F",529810,"F","F18","Rajiform"
"22","Wtr_A",8.33885761568697,0.595403931969247,"WA","Wtr","A",529804,"W","Wtr",NA
"23","Wtr_B",8.42649583483123,0.641174809747874,"WB","Wtr","B",529804,"W","Wtr",NA
"24","Wtr_C",8.51165400768621,0.672548161208018,"WC","Wtr","C",529804,"W","Wtr",NA
