"Sample","intercept","slope","sd_intercept","sd_Rank","tval_intercept","tval_Rank","pval_intercept","pval_Rank","rsquare","rsquare_adj","F_value","df_num","df_den","Biomol","Species","Site","Slide","Type","SdmWtr","Family","funct_process","funct_category","funct_trait","n"
"AcanQuad_1",2.38420407439357,-0.116294246145133,0.857032152232701,0.140264811093474,2.78193072241497,-0.829104928303318,0.0497202573639739,0.453654129594898,0.1467,-0.0667,0.6874,1,4,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","Adhesin","Virulence","aidA",92
"ArioFeli_2",0.939935482913844,0.0218671684690726,0.566273013313211,0.0976913759181153,1.65986275315218,0.223839292502151,0.195525084458781,0.837259552441186,0.0164,-0.3114,0.0501,1,3,"16","ArioFeli","F",529804,"F","F2","Siluriform","Adhesin","Virulence","aidA",92
"ChaeFabe_1",2.16071514154432,-0.150565821592784,0.763378784647482,0.125257122965723,2.83046265497424,-1.20205396729403,0.0366547878967878,0.283162084319125,0.2242,0.069,1.4449,1,5,"8","ChaeFabe","F",529804,"F","F3","Perciform","Adhesin","Virulence","aidA",92
"ChilShoe_1",1.75369774826311,0.00540688274183001,1.05146793279253,0.18248492376175,1.66785661604112,0.0296292024040801,0.193935677565719,0.97822366740211,3e-04,-0.3329,9e-04,1,3,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","Adhesin","Virulence","aidA",92
"ChilShoe_2",0.774500999777858,0.115821968165292,0.620757118388705,0.108888001744947,1.24767155596737,1.06367980226679,0.280206422103424,0.347424248470282,0.2205,0.0256,1.1314,1,4,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","Adhesin","Virulence","aidA",92
"GimnMicr_1",0.666829329583539,0.0913438920420041,0.466974392234873,0.0755546823582755,1.42797836599174,1.20897724920419,0.248601043295335,0.313263906607513,0.3276,0.1035,1.4616,1,3,"18","GimnMicr","F",529810,"F","F6","Rajiform","Adhesin","Virulence","aidA",92
"HaemBona",2.78486602035855,-0.181216142868742,0.964584342113968,0.148485478334079,2.88711510105512,-1.22043007102029,0.0631613420530613,0.309481027261472,0.3318,0.109,1.4894,1,3,"7","HaemBona","F",529810,"F","F8","Perciform","Adhesin","Virulence","aidA",92
"OpsaBeta_1",0.36439782918261,0.246902112068958,0.534810409879387,0.0957464223264386,0.681358893640068,2.57870848925475,0.544528016149491,0.0818715071983775,0.6891,0.5855,6.6497,1,3,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","Adhesin","Virulence","aidA",92
"OrthChry_2",0.899552441308824,0.00423531654717811,0.398953833897135,0.0681343382305793,2.25477828479965,0.0621612634270403,0.0738332800267466,0.952842774795921,8e-04,-0.1991,0.0039,1,5,"39","OrthChry","F",529804,"F","F10","Perciform","Adhesin","Virulence","aidA",92
"PrioPunc_1",1.581964475738,-0.0484636469240215,0.70538088093334,0.104327239226868,2.24270960341991,-0.464534931463423,0.0749593168953483,0.661790317393159,0.0414,-0.1504,0.2158,1,5,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","Adhesin","Virulence","aidA",92
"Sdmt_B",0.415855936861991,0.0481267216000966,0.170875657035762,0.0338384223936969,2.43367571528903,1.42225074916794,0.0509073918669082,0.204794670985718,0.2521,0.1275,2.0228,1,6,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"Adhesin","Virulence","aidA",92
"Sdmt_C",0.504526243350523,0.0550051112756488,0.809983003293498,0.133886060524803,0.622884975732889,0.410835236021146,0.577500214491217,0.708776097138151,0.0533,-0.2623,0.1688,1,3,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"Adhesin","Virulence","aidA",92
"SphoSpen_1",0.731555580660861,0.0531361299215909,0.491600844483954,0.0853920909101414,1.48810887708867,0.622260555459479,0.196886924479947,0.561044635000788,0.0719,-0.1137,0.3872,1,5,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","Adhesin","Virulence","aidA",92
"SphoTest_1",1.02088915583287,0.0985087678560862,0.862228059965161,0.147437887347439,1.18401291170473,0.668137407747501,0.321673991800986,0.551854637266166,0.1295,-0.1606,0.4464,1,3,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","Adhesin","Virulence","aidA",92
