"Sample","intercept","slope","sd_intercept","sd_Rank","tval_intercept","tval_Rank","pval_intercept","pval_Rank","rsquare","rsquare_adj","F_value","df_num","df_den","Biomol","Species","Site","Slide","Type","SdmWtr","Family","funct_trait","funct_category","funct_process","n"
"AcanQuad_1",0.829318428006432,0.117910136240065,0.679413066341883,0.204850747156442,1.2206395035522,0.575590462211097,0.309412288690416,0.605229793148696,0.0995,-0.2007,0.3313,1,3,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"ArioFeli_2",-0.316722921425636,0.445328040551848,0.976197484082339,0.265687302687826,-0.324445541593838,1.67613595398307,0.776391434884035,0.235702639780702,0.5842,0.3762,2.8094,1,2,"16","ArioFeli","F",529804,"F","F2","Siluriform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"ChaeFabe_1",0.541038922945345,0.119598282196372,0.640278604336838,0.193051262897974,0.845005469932453,0.619515668538149,0.460170206244444,0.579444620188061,0.1134,-0.1821,0.3838,1,3,"8","ChaeFabe","F",529804,"F","F3","Perciform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"ChilShoe_1",1.52524339330231,-0.066345828297688,0.792678652307505,0.239001606275326,1.92416357985962,-0.277595742269861,0.150022984244188,0.799353494954998,0.025,-0.2999,0.0771,1,3,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"ChilShoe_2",1.27264367122957,0.133962491708376,0.66439483749137,0.195919348997885,1.91549301622336,0.683763458757828,0.195505652363867,0.564714249933993,0.1895,-0.2158,0.4675,1,2,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"GimnMicr_1",0.288755913589627,0.230314394324357,0.518391954108034,0.156301055101408,0.557022367537459,1.47353064363468,0.616370073612849,0.237034410642891,0.4199,0.2265,2.1713,1,3,"18","GimnMicr","F",529810,"F","F6","Rajiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"GimnMicr_2",0.0387305456965902,0.300031986553536,0.926523051047911,0.273216742138215,0.0418020314257539,1.09814641740277,0.970454404359539,0.386685076278671,0.3762,0.0642,1.2059,1,2,"19","GimnMicr","F",529810,"F","F7","Rajiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"HaemBona",0.739597027804616,0.140201815865902,0.838405420454913,0.22818505307757,0.882147240178047,0.61442155818261,0.470750329719317,0.601521478372732,0.1588,-0.2618,0.3775,1,2,"7","HaemBona","F",529810,"F","F8","Perciform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"OpsaBeta_1",1.55785960659861,-0.0348966840606224,1.08282008111217,0.326482538591935,1.43870586976787,-0.106886831409502,0.245822981732615,0.921625738518295,0.0038,-0.3283,0.0114,1,3,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"OrthChry_2",1.38798183145347,-0.0263655858511789,0.217926872163805,0.0657074242457353,6.36902561704364,-0.401257333609301,0.00783415036375215,0.715102374531532,0.0509,-0.2654,0.161,1,3,"39","OrthChry","F",529804,"F","F10","Perciform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
